Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"24.19600","-0.49490","-0.00159"
"24.29600","-0.49490","-0.00155"
"24.39600","-0.49490","-0.00147"
"24.49600","-0.49490","-0.00150"
"24.59600","-0.49490","-0.00161"
"24.69600","-0.49490","-0.00168"
"24.79600","-0.49490","-0.00168"
"24.89600","-0.49490","-0.00145"
"24.99600","-0.49490","-0.00144"
"25.09600","-0.49490","-0.00154"
"25.19600","-0.49490","-0.00154"
"25.29600","-0.49490","-0.00156"
"25.39600","-0.49490","-0.00157"
"25.49600","-0.49490","-0.00145"
"25.59600","-0.49490","-0.00162"
"25.69600","-0.49490","-0.00163"
"25.79600","-0.49490","-0.00167"
"25.89600","-0.49490","-0.00155"
"25.99600","-0.49490","-0.00150"
"26.09600","-0.49490","-0.00147"
"26.19600","-0.49490","-0.00160"
"26.29600","-0.49490","-0.00151"
"26.39600","-0.49490","-0.00151"
"26.49600","-0.49490","-0.00154"
"26.59600","-0.49490","-0.00153"
"26.69600","-0.49490","-0.00171"
"26.79600","-0.49490","-0.00159"
"26.89600","-0.49490","-0.00147"
"26.99600","-0.49490","-0.00147"
"27.09600","-0.49490","-0.00158"
"27.19600","-0.49490","-0.00157"
"27.29600","-0.49490","-0.00147"
"27.39600","-0.49490","-0.00151"
"27.49600","-0.49490","-0.00162"
"27.59600","-0.49492","-0.00162"
"27.69600","-0.49492","-0.00163"
"27.79600","-0.49492","-0.00155"
"27.89600","-0.49492","-0.00154"
"27.99600","-0.49492","-0.00157"
"28.09600","-0.49492","-0.00153"
"28.19600","-0.49492","-0.00147"
"28.29600","-0.49492","-0.00156"
"28.39600","-0.49492","-0.00160"
"28.49600","-0.49492","-0.00161"
"28.59600","-0.49492","-0.00165"
"28.69600","-0.49492","-0.00156"
"28.79600","-0.49492","-0.00162"
"28.89600","-0.49492","-0.00143"
"28.99600","-0.49492","-0.00140"
"29.09600","-0.49492","-0.00150"
"29.19600","-0.49492","-0.00142"
"29.29600","-0.49492","-0.00141"
"29.39600","-0.49492","-0.00145"
"29.49600","-0.49492","-0.00152"
"29.59600","-0.49492","-0.00154"
"29.69600","-0.49492","-0.00139"
"29.79600","-0.49492","-0.00148"
"29.89600","-0.49492","-0.00147"
"29.99600","-0.49492","-0.00139"
"30.09600","-0.49492","-0.00150"
"30.19600","-0.49492","-0.00138"
"30.29600","-0.49492","-0.00140"
"30.39600","-0.49492","-0.00140"
"30.49600","-0.49492","-0.00147"
"30.59600","-0.49492","-0.00141"
"30.69600","-0.49492","-0.00151"
"30.79600","-0.49492","-0.00138"
"30.89600","-0.49492","-0.00139"
"30.99600","-0.49492","-0.00138"
"31.09600","-0.49492","-0.00138"
"31.19600","-0.49492","-0.00141"
"31.29600","-0.49492","-0.00151"
"31.39600","-0.49492","-0.00147"
"31.49600","-0.49492","-0.00145"
"31.59600","-0.49492","-0.00151"
"31.69600","-0.49492","-0.00137"
"31.79600","-0.49492","-0.00143"
"31.89600","-0.49492","-0.00152"
"31.99600","-0.49492","-0.00143"
"32.09600","-0.49492","-0.00137"
"32.19600","-0.49492","-0.00132"
"32.29600","-0.49492","-0.00147"
"32.39600","-0.49492","-0.00156"
"32.49600","-0.49492","-0.00153"
"32.59600","-0.49492","-0.00138"
"32.69600","-0.49492","-0.00149"
"32.79600","-0.49492","-0.00146"
"32.89600","-0.49492","-0.00156"
"32.99600","-0.49492","-0.00142"
"33.09600","-0.49492","-0.00133"
"33.19600","-0.49492","-0.00148"
"33.29600","-0.49492","-0.00152"
"33.39600","-0.49492","-0.00150"
"33.49600","-0.49492","-0.00145"
"33.59600","-0.49492","-0.00136"
"33.69600","-0.49492","-0.00155"
"33.79600","-0.49492","-0.00149"
"33.89600","-0.49492","-0.00149"
"33.99600","-0.49492","-0.00130"
"34.09600","-0.49492","-0.00139"
"34.19600","-0.49492","-0.00141"
"34.29600","-0.49492","-0.00135"
"34.39600","-0.49492","-0.00147"
"34.49600","-0.49492","-0.00140"
"34.59600","-0.49492","-0.00143"
"34.69600","-0.49492","-0.00141"
"34.79600","-0.49492","-0.00140"
"34.89600","-0.49492","-0.00134"
"34.99600","-0.49492","-0.00121"
"35.09600","-0.49492","-0.00139"
"35.19600","-0.49492","-0.00144"
"35.29600","-0.49492","-0.00145"
"35.39600","-0.49492","-0.00137"
"35.49600","-0.49492","-0.00139"
"35.59600","-0.49492","-0.00151"
"35.69600","-0.49492","-0.00140"
"35.79600","-0.49492","-0.00142"
"35.89600","-0.49492","-0.00139"
"35.99600","-0.49492","-0.00141"
"36.09600","-0.49492","-0.00137"
"36.19600","-0.49492","-0.00137"
"36.29600","-0.49492","-0.00136"
"36.39600","-0.49492","-0.00126"
"36.49600","-0.49492","-0.00145"
"36.59600","-0.49492","-0.00146"
"36.69600","-0.49492","-0.00142"
"36.79600","-0.49492","-0.00136"
"36.89600","-0.49492","-0.00125"
"36.99600","-0.49492","-0.00131"
"37.09600","-0.49492","-0.00139"
"37.19600","-0.49492","-0.00152"
"37.29600","-0.49492","-0.00138"
"37.39600","-0.49492","-0.00148"
"37.49600","-0.49492","-0.00143"
"37.59600","-0.49492","-0.00144"
"37.69600","-0.49492","-0.00136"
"37.79600","-0.49492","-0.00133"
"37.89600","-0.49492","-0.00134"
"37.99600","-0.49492","-0.00141"
"38.09600","-0.49492","-0.00131"
"38.19600","-0.49492","-0.00146"
"38.29600","-0.49492","-0.00131"
"38.39600","-0.49492","-0.00144"
"38.49600","-0.49492","-0.00158"
"38.59600","-0.49492","-0.00140"
"38.69600","-0.49492","-0.00140"
"38.79600","-0.49492","-0.00140"
"38.89600","-0.49492","-0.00143"
"38.99600","-0.49492","-0.00146"
"39.09600","-0.49492","-0.00145"
"39.19600","-0.49492","-0.00149"
"39.29600","-0.49492","-0.00151"
"39.39600","-0.49492","-0.00140"
"39.49600","-0.49492","-0.00139"
"39.59600","-0.49492","-0.00145"
"39.69600","-0.49492","-0.00144"
"39.79600","-0.49492","-0.00145"
"39.89600","-0.49492","-0.00140"
"39.99600","-0.49492","-0.00143"
"40.09600","-0.49492","-0.00126"
"40.19600","-0.49492","-0.00129"
"40.29600","-0.49492","-0.00139"
"40.39600","-0.49492","-0.00159"
"40.49600","-0.49492","-0.00141"
"40.59600","-0.49492","-0.00130"
"40.69600","-0.49492","-0.00127"
"40.79600","-0.49492","-0.00130"
"40.89600","-0.49492","-0.00144"
"40.99600","-0.49492","-0.00130"
"41.09600","-0.49492","-0.00128"
"41.19600","-0.49492","-0.00133"
"41.29600","-0.49492","-0.00140"
"41.39600","-0.49492","-0.00142"
"41.49600","-0.49492","-0.00124"
"41.59600","-0.49492","-0.00134"
"41.69600","-0.49492","-0.00128"
"41.79600","-0.49492","-0.00142"
"41.89600","-0.49492","-0.00140"
"41.99600","-0.49492","-0.00131"
"42.09600","-0.49492","-0.00138"
"42.19600","-0.49492","-0.00127"
"42.29600","-0.49492","-0.00150"
"42.39600","-0.49492","-0.00140"
"42.49600","-0.49492","-0.00142"
"42.59600","-0.49492","-0.00127"
"42.69600","-0.49492","-0.00135"
"42.79600","-0.49492","-0.00134"
"42.89600","-0.49492","-0.00131"
"42.99600","-0.49492","-0.00133"
"43.09600","-0.49492","-0.00139"
"43.19600","-0.49492","-0.00153"
"43.29600","-0.49492","-0.00149"
"43.39600","-0.49492","-0.00132"
"43.49600","-0.49492","-0.00136"
"43.59600","-0.49492","-0.00133"
"43.69600","-0.49492","-0.00133"
"43.79600","-0.49492","-0.00134"
"43.89600","-0.49492","-0.00133"
"43.99600","-0.49492","-0.00130"
"44.09600","-0.49492","-0.00141"
"44.19600","-0.49492","-0.00151"
"44.29600","-0.49492","-0.00135"
"44.39600","-0.49492","-0.00139"
"44.49600","-0.49492","-0.00141"
"44.59600","-0.49492","-0.00135"
"44.69600","-0.49492","-0.00134"
"44.79600","-0.49492","-0.00129"
"44.89600","-0.49492","-0.00131"
"44.99600","-0.49492","-0.00135"
"45.09600","-0.49492","-0.00149"
"45.19600","-0.49492","-0.00147"
"45.29600","-0.49492","-0.00135"
"45.39600","-0.49492","-0.00125"
"45.49600","-0.49492","-0.00131"
"45.59600","-0.49492","-0.00138"
"45.69600","-0.49492","-0.00136"
"45.79600","-0.49492","-0.00130"
"45.89600","-0.49492","-0.00123"
"45.99600","-0.49492","-0.00141"
"46.09600","-0.49492","-0.00137"
"46.19600","-0.49492","-0.00135"
"46.29600","-0.49492","-0.00141"
"46.39600","-0.49492","-0.00132"
"46.49600","-0.49492","-0.00141"
"46.59600","-0.49492","-0.00126"
"46.69600","-0.49492","-0.00124"
"46.79600","-0.49492","-0.00120"
"46.89600","-0.49492","-0.00139"
"46.99600","-0.49492","-0.00139"
"47.09600","-0.49492","-0.00129"
"47.19600","-0.49492","-0.00121"
"47.29600","-0.49492","-0.00123"
"47.39600","-0.49492","-0.00131"
"47.49600","-0.49492","-0.00143"
"47.59600","-0.49492","-0.00133"
"47.69600","-0.49492","-0.00138"
"47.79600","-0.49492","-0.00116"
"47.89600","-0.49492","-0.00124"
"47.99600","-0.49492","-0.00126"
"48.09600","-0.49492","-0.00137"
"48.19600","-0.49492","-0.00130"
"48.29600","-0.49492","-0.00135"
"48.39600","-0.49492","-0.00142"
"48.49600","-0.49492","-0.00134"
"48.59600","-0.49492","-0.00123"
"48.69600","-0.49492","-0.00131"
"48.79600","-0.49492","-0.00126"
"48.89600","-0.49492","-0.00136"
"48.99600","-0.49492","-0.00135"
"49.09600","-0.49492","-0.00130"
"49.19600","-0.49492","-0.00134"
"49.29600","-0.49492","-0.00132"
"49.39600","-0.49492","-0.00143"
"49.49600","-0.49492","-0.00132"
"49.59600","-0.49492","-0.00130"
"49.69600","-0.49492","-0.00132"
"49.79600","-0.49492","-0.00138"
