Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"853.66200","-1.48518","-0.01270"
"853.76200","-1.48518","-0.01263"
"853.86200","-1.48518","-0.01269"
"853.96200","-1.48518","-0.01275"
"854.06200","-1.48518","-0.01267"
"854.16200","-1.48518","-0.01267"
"854.26200","-1.48518","-0.01265"
"854.36200","-1.48518","-0.01255"
"854.46200","-1.48518","-0.01276"
"854.56200","-1.48518","-0.01271"
"854.66200","-1.48518","-0.01270"
"854.76200","-1.48518","-0.01262"
"854.86200","-1.48518","-0.01266"
"854.96200","-1.48518","-0.01257"
"855.06200","-1.48518","-0.01261"
"855.16200","-1.48518","-0.01249"
"855.26200","-1.48518","-0.01258"
"855.36200","-1.48518","-0.01266"
"855.46200","-1.48518","-0.01266"
"855.56200","-1.48518","-0.01257"
"855.66200","-1.48518","-0.01251"
"855.76200","-1.48518","-0.01256"
"855.86200","-1.48518","-0.01262"
"855.96200","-1.48518","-0.01256"
"856.06200","-1.48518","-0.01263"
"856.16200","-1.48518","-0.01252"
"856.26200","-1.48518","-0.01266"
"856.36200","-1.48518","-0.01262"
"856.46200","-1.48518","-0.01258"
"856.56200","-1.48518","-0.01260"
"856.66200","-1.48518","-0.01249"
"856.76200","-1.48518","-0.01255"
"856.86200","-1.48518","-0.01262"
"856.96200","-1.48518","-0.01256"
"857.06200","-1.48518","-0.01245"
"857.16200","-1.48518","-0.01249"
"857.26200","-1.48518","-0.01260"
"857.36200","-1.48518","-0.01264"
"857.46200","-1.48518","-0.01257"
"857.56200","-1.48518","-0.01254"
"857.66200","-1.48518","-0.01258"
"857.76200","-1.48518","-0.01255"
"857.86200","-1.48518","-0.01248"
"857.96200","-1.48518","-0.01240"
"858.06200","-1.48518","-0.01248"
"858.16200","-1.48518","-0.01248"
"858.26200","-1.48518","-0.01252"
"858.36200","-1.48518","-0.01244"
"858.46200","-1.48518","-0.01248"
"858.56200","-1.48518","-0.01248"
"858.66200","-1.48518","-0.01246"
"858.76200","-1.48518","-0.01249"
"858.86200","-1.48518","-0.01246"
"858.96200","-1.48518","-0.01236"
"859.06200","-1.48518","-0.01238"
"859.16200","-1.48518","-0.01239"
"859.26200","-1.48518","-0.01247"
"859.36200","-1.48518","-0.01246"
"859.46200","-1.48518","-0.01241"
"859.56200","-1.48518","-0.01245"
"859.66200","-1.48518","-0.01250"
"859.76200","-1.48518","-0.01247"
"859.86200","-1.48518","-0.01241"
"859.96200","-1.48518","-0.01236"
"860.06200","-1.48518","-0.01249"
"860.16200","-1.48518","-0.01253"
"860.26200","-1.48518","-0.01249"
"860.36200","-1.48518","-0.01238"
"860.46200","-1.48518","-0.01245"
"860.56200","-1.48518","-0.01240"
"860.66200","-1.48518","-0.01255"
"860.76200","-1.48518","-0.01242"
"860.86200","-1.48518","-0.01247"
"860.96200","-1.48518","-0.01243"
"861.06200","-1.48518","-0.01241"
"861.16200","-1.48518","-0.01247"
"861.26200","-1.48518","-0.01253"
"861.36200","-1.48518","-0.01248"
"861.46200","-1.48518","-0.01257"
"861.56200","-1.48518","-0.01247"
"861.66200","-1.48518","-0.01247"
"861.76200","-1.48518","-0.01245"
"861.86200","-1.48518","-0.01241"
"861.96200","-1.48518","-0.01234"
"862.06200","-1.48518","-0.01241"
"862.16200","-1.48518","-0.01236"
"862.26200","-1.48518","-0.01235"
"862.36200","-1.48518","-0.01236"
"862.46200","-1.48518","-0.01247"
"862.56200","-1.48518","-0.01245"
"862.66200","-1.48518","-0.01239"
"862.76200","-1.48518","-0.01239"
"862.86200","-1.48518","-0.01227"
"862.96200","-1.48518","-0.01232"
"863.06200","-1.48518","-0.01238"
"863.16200","-1.48518","-0.01238"
"863.26200","-1.48518","-0.01227"
"863.36200","-1.48518","-0.01242"
"863.46200","-1.48518","-0.01241"
"863.56200","-1.48518","-0.01243"
"863.66200","-1.48518","-0.01224"
"863.76200","-1.48518","-0.01234"
"863.86200","-1.48518","-0.01230"
"863.96200","-1.48518","-0.01236"
"864.06200","-1.48518","-0.01231"
"864.16200","-1.48518","-0.01222"
"864.26200","-1.48518","-0.01228"
"864.36200","-1.48518","-0.01235"
"864.46200","-1.48518","-0.01237"
"864.56200","-1.48518","-0.01238"
"864.66200","-1.48518","-0.01229"
"864.76200","-1.48518","-0.01222"
"864.86200","-1.48518","-0.01240"
"864.96200","-1.48518","-0.01235"
"865.06200","-1.48518","-0.01232"
"865.16200","-1.48518","-0.01233"
"865.26200","-1.48518","-0.01239"
"865.36200","-1.48518","-0.01244"
"865.46200","-1.48518","-0.01242"
"865.56200","-1.48518","-0.01232"
"865.66200","-1.48518","-0.01226"
"865.76200","-1.48518","-0.01237"
"865.86200","-1.48518","-0.01238"
"865.96200","-1.48518","-0.01232"
"866.06200","-1.48518","-0.01223"
"866.16200","-1.48518","-0.01224"
"866.26200","-1.48518","-0.01234"
"866.36200","-1.48518","-0.01231"
"866.46200","-1.48518","-0.01236"
"866.56200","-1.48518","-0.01233"
"866.66200","-1.48518","-0.01228"
"866.76200","-1.48518","-0.01227"
"866.86200","-1.48518","-0.01231"
"866.96200","-1.48518","-0.01226"
"867.06200","-1.48518","-0.01224"
"867.16200","-1.48518","-0.01229"
"867.26200","-1.48518","-0.01232"
"867.36200","-1.48518","-0.01229"
"867.46200","-1.48518","-0.01211"
"867.56200","-1.48518","-0.01215"
"867.66200","-1.48518","-0.01222"
"867.76200","-1.48518","-0.01234"
"867.86200","-1.48518","-0.01221"
"867.96200","-1.48518","-0.01219"
"868.06200","-1.48518","-0.01220"
"868.16200","-1.48518","-0.01225"
"868.26200","-1.48518","-0.01223"
"868.36200","-1.48518","-0.01222"
"868.46200","-1.48518","-0.01224"
"868.56200","-1.48518","-0.01224"
"868.66200","-1.48518","-0.01228"
"868.76200","-1.48518","-0.01222"
"868.86200","-1.48518","-0.01216"
"868.96200","-1.48518","-0.01212"
"869.06200","-1.48518","-0.01231"
"869.16200","-1.48518","-0.01222"
"869.26200","-1.48518","-0.01226"
"869.36200","-1.48518","-0.01220"
"869.46200","-1.48518","-0.01218"
"869.56200","-1.48518","-0.01216"
"869.66200","-1.48518","-0.01216"
"869.76200","-1.48518","-0.01214"
"869.86200","-1.48518","-0.01210"
"869.96200","-1.48518","-0.01214"
"870.06200","-1.48518","-0.01214"
"870.16200","-1.48518","-0.01213"
"870.26200","-1.48518","-0.01216"
"870.36200","-1.48518","-0.01203"
"870.46200","-1.48518","-0.01217"
"870.56200","-1.48518","-0.01223"
"870.66200","-1.48518","-0.01221"
"870.76200","-1.48518","-0.01200"
"870.86200","-1.48518","-0.01202"
"870.96200","-1.48518","-0.01205"
"871.06200","-1.48518","-0.01225"
"871.16200","-1.48518","-0.01221"
"871.26200","-1.48518","-0.01211"
"871.36200","-1.48518","-0.01209"
"871.46200","-1.48518","-0.01212"
"871.56200","-1.48518","-0.01213"
"871.66200","-1.48518","-0.01217"
"871.76200","-1.48518","-0.01212"
"871.86200","-1.48518","-0.01218"
"871.96200","-1.48518","-0.01217"
"872.06200","-1.48518","-0.01213"
"872.16200","-1.48518","-0.01210"
"872.26200","-1.48518","-0.01214"
"872.36200","-1.48518","-0.01212"
"872.46200","-1.48518","-0.01229"
"872.56200","-1.48518","-0.01218"
"872.66200","-1.48518","-0.01209"
"872.76200","-1.48518","-0.01194"
"872.86200","-1.48518","-0.01220"
"872.96200","-1.48518","-0.01212"
"873.06200","-1.48518","-0.01210"
"873.16200","-1.48518","-0.01208"
"873.26200","-1.48518","-0.01206"
"873.36200","-1.48518","-0.01212"
"873.46200","-1.48518","-0.01204"
"873.56200","-1.48518","-0.01201"
"873.66200","-1.48518","-0.01192"
"873.76200","-1.48518","-0.01203"
"873.86200","-1.48518","-0.01205"
"873.96200","-1.48518","-0.01207"
"874.06200","-1.48518","-0.01203"
"874.16200","-1.48518","-0.01195"
"874.26200","-1.48518","-0.01196"
"874.36200","-1.48518","-0.01205"
"874.46200","-1.48518","-0.01213"
"874.56200","-1.48518","-0.01201"
"874.66200","-1.48518","-0.01193"
"874.76200","-1.48518","-0.01190"
"874.86200","-1.48518","-0.01194"
"874.96200","-1.48518","-0.01200"
"875.06200","-1.48518","-0.01201"
"875.16200","-1.48518","-0.01207"
"875.26200","-1.48518","-0.01204"
"875.36200","-1.48518","-0.01202"
"875.46200","-1.48518","-0.01191"
"875.56200","-1.48518","-0.01193"
"875.66200","-1.48518","-0.01196"
"875.76200","-1.48518","-0.01206"
"875.86200","-1.48518","-0.01212"
"875.96200","-1.48518","-0.01188"
"876.06200","-1.48518","-0.01187"
"876.16200","-1.48518","-0.01197"
"876.26200","-1.48518","-0.01209"
"876.36200","-1.48518","-0.01200"
"876.46200","-1.48518","-0.01199"
"876.56200","-1.48518","-0.01199"
"876.66200","-1.48518","-0.01199"
"876.76200","-1.48518","-0.01199"
"876.86200","-1.48518","-0.01200"
"876.96200","-1.48518","-0.01203"
"877.06200","-1.48518","-0.01193"
"877.16200","-1.48518","-0.01192"
"877.26200","-1.48518","-0.01201"
"877.36200","-1.48518","-0.01197"
"877.46200","-1.48518","-0.01197"
"877.56200","-1.48518","-0.01192"
"877.66200","-1.48518","-0.01199"
"877.76200","-1.48518","-0.01197"
"877.86200","-1.48518","-0.01195"
"877.96200","-1.48518","-0.01191"
"878.06200","-1.48518","-0.01195"
"878.16200","-1.48518","-0.01192"
"878.26200","-1.48518","-0.01201"
"878.36200","-1.48518","-0.01191"
"878.46200","-1.48518","-0.01192"
"878.56200","-1.48518","-0.01198"
"878.66200","-1.48518","-0.01202"
"878.76200","-1.48518","-0.01191"
"878.86200","-1.48518","-0.01193"
"878.96200","-1.48518","-0.01188"
"879.06200","-1.48518","-0.01203"
"879.16200","-1.48518","-0.01203"
"879.26200","-1.48518","-0.01197"
"879.36200","-1.48518","-0.01186"
"879.46200","-1.48518","-0.01195"
"879.56200","-1.48518","-0.01193"
"879.66200","-1.48518","-0.01201"
"879.76200","-1.48518","-0.01198"
"879.86200","-1.48518","-0.01198"
"879.96200","-1.48518","-0.01189"
"880.06200","-1.48518","-0.01190"
"880.16200","-1.48518","-0.01186"
"880.26200","-1.48518","-0.01187"
"880.36200","-1.48518","-0.01181"
"880.46200","-1.48518","-0.01197"
"880.56200","-1.48518","-0.01198"
"880.66200","-1.48518","-0.01187"
"880.76200","-1.48518","-0.01175"
"880.86200","-1.48518","-0.01182"
"880.96200","-1.48518","-0.01182"
"881.06200","-1.48518","-0.01201"
"881.16200","-1.48518","-0.01192"
"881.26200","-1.48518","-0.01176"
"881.36200","-1.48518","-0.01178"
"881.46200","-1.48518","-0.01181"
"881.56200","-1.48518","-0.01190"
"881.66200","-1.48518","-0.01194"
"881.76200","-1.48518","-0.01188"
"881.86200","-1.48518","-0.01190"
"881.96200","-1.48518","-0.01182"
"882.06200","-1.48518","-0.01180"
"882.16200","-1.48518","-0.01187"
"882.26200","-1.48518","-0.01183"
"882.36200","-1.48518","-0.01194"
"882.46200","-1.48518","-0.01197"
"882.56200","-1.48518","-0.01195"
"882.66200","-1.48518","-0.01181"
"882.76200","-1.48518","-0.01178"
"882.86200","-1.48518","-0.01176"
"882.96200","-1.48518","-0.01193"
"883.06200","-1.48518","-0.01188"
"883.16200","-1.48518","-0.01190"
"883.26200","-1.48518","-0.01180"
"883.36200","-1.48518","-0.01192"
"883.46200","-1.48518","-0.01192"
"883.56200","-1.48518","-0.01191"
"883.66200","-1.48518","-0.01194"
"883.76200","-1.48518","-0.01186"
"883.86200","-1.48518","-0.01191"
"883.96200","-1.48518","-0.01183"
"884.06200","-1.48518","-0.01180"
"884.16200","-1.48518","-0.01173"
"884.26200","-1.48518","-0.01192"
"884.36200","-1.48518","-0.01194"
"884.46200","-1.48518","-0.01185"
"884.56200","-1.48518","-0.01183"
"884.66200","-1.48518","-0.01172"
"884.76200","-1.48518","-0.01183"
"884.86200","-1.48518","-0.01183"
"884.96200","-1.48518","-0.01187"
"885.06200","-1.48518","-0.01173"
"885.16200","-1.48518","-0.01179"
"885.26200","-1.48518","-0.01174"
"885.36200","-1.48518","-0.01175"
"885.46200","-1.48518","-0.01190"
"885.56200","-1.48518","-0.01169"
"885.66200","-1.48518","-0.01175"
"885.76200","-1.48518","-0.01176"
"885.86200","-1.48518","-0.01188"
"885.96200","-1.48518","-0.01176"
"886.06200","-1.48518","-0.01169"
"886.16200","-1.48518","-0.01173"
"886.26200","-1.48518","-0.01186"
"886.36200","-1.48518","-0.01186"
"886.46200","-1.48518","-0.01172"
"886.56200","-1.48518","-0.01166"
"886.66200","-1.48518","-0.01171"
"886.76200","-1.48518","-0.01184"
"886.86200","-1.48518","-0.01184"
"886.96200","-1.48518","-0.01178"
"887.06200","-1.48518","-0.01166"
"887.16200","-1.48518","-0.01174"
"887.26200","-1.48518","-0.01180"
"887.36200","-1.48518","-0.01168"
"887.46200","-1.48518","-0.01185"
"887.56200","-1.48518","-0.01180"
"887.66200","-1.48518","-0.01174"
"887.76200","-1.48518","-0.01176"
"887.86200","-1.48518","-0.01169"
"887.96200","-1.48518","-0.01170"
"888.06200","-1.48518","-0.01159"
"888.16200","-1.48518","-0.01176"
"888.26200","-1.48518","-0.01183"
"888.36200","-1.48518","-0.01177"
"888.46200","-1.48518","-0.01155"
"888.56200","-1.48518","-0.01170"
"888.66200","-1.48518","-0.01172"
"888.76200","-1.48518","-0.01173"
"888.86200","-1.48518","-0.01160"
"888.96200","-1.48518","-0.01165"
"889.06200","-1.48518","-0.01176"
"889.16200","-1.48518","-0.01173"
"889.26200","-1.48518","-0.01164"
"889.36200","-1.48518","-0.01165"
"889.46200","-1.48518","-0.01165"
"889.56200","-1.48518","-0.01175"
"889.66200","-1.48518","-0.01164"
"889.76200","-1.48518","-0.01166"
"889.86200","-1.48518","-0.01164"
"889.96200","-1.48518","-0.01160"
"890.06200","-1.48518","-0.01165"
"890.16200","-1.48518","-0.01177"
"890.26200","-1.48518","-0.01171"
"890.36200","-1.48518","-0.01169"
"890.46200","-1.48518","-0.01162"
"890.56200","-1.48518","-0.01164"
"890.66200","-1.48518","-0.01164"
"890.76200","-1.48518","-0.01159"
"890.86200","-1.48518","-0.01159"
"890.96200","-1.48518","-0.01174"
"891.06200","-1.48518","-0.01179"
"891.16200","-1.48518","-0.01168"
"891.26200","-1.48518","-0.01154"
"891.36200","-1.48518","-0.01159"
"891.46200","-1.48518","-0.01168"
"891.56200","-1.48518","-0.01175"
"891.66200","-1.48518","-0.01162"
"891.76200","-1.48518","-0.01154"
"891.86200","-1.48518","-0.01153"
"891.96200","-1.48518","-0.01160"
"892.06200","-1.48518","-0.01166"
"892.16200","-1.48518","-0.01158"
"892.26200","-1.48518","-0.01165"
"892.36200","-1.48518","-0.01158"
"892.46200","-1.48518","-0.01153"
"892.56200","-1.48518","-0.01155"
"892.66200","-1.48518","-0.01152"
"892.76200","-1.48518","-0.01156"
"892.86200","-1.48518","-0.01155"
"892.96200","-1.48518","-0.01162"
"893.06200","-1.48518","-0.01157"
"893.16200","-1.48518","-0.01157"
"893.26200","-1.48518","-0.01150"
"893.36200","-1.48518","-0.01167"
"893.46200","-1.48518","-0.01165"
"893.56200","-1.48518","-0.01161"
"893.66200","-1.48518","-0.01155"
"893.76200","-1.48518","-0.01153"
"893.86200","-1.48518","-0.01157"
"893.96200","-1.48518","-0.01168"
"894.06200","-1.48518","-0.01166"
"894.16200","-1.48518","-0.01150"
"894.26200","-1.48518","-0.01168"
"894.36200","-1.48518","-0.01171"
"894.46200","-1.48518","-0.01158"
"894.56200","-1.48518","-0.01157"
"894.66200","-1.48518","-0.01153"
"894.76200","-1.48518","-0.01165"
"894.86200","-1.48518","-0.01164"
"894.96200","-1.48518","-0.01159"
"895.06200","-1.48518","-0.01156"
"895.16200","-1.48518","-0.01154"
"895.26200","-1.48518","-0.01155"
"895.36200","-1.48518","-0.01157"
"895.46200","-1.48518","-0.01157"
"895.56200","-1.48518","-0.01154"
"895.66200","-1.48518","-0.01158"
"895.76200","-1.48518","-0.01147"
"895.86200","-1.48518","-0.01166"
"895.96200","-1.48518","-0.01154"
"896.06200","-1.48518","-0.01155"
"896.16200","-1.48518","-0.01147"
"896.26200","-1.48518","-0.01163"
"896.36200","-1.48518","-0.01161"
"896.46200","-1.48518","-0.01144"
"896.56200","-1.48518","-0.01152"
"896.66200","-1.48518","-0.01150"
"896.76200","-1.48518","-0.01159"
"896.86200","-1.48518","-0.01152"
"896.96200","-1.48518","-0.01148"
"897.06200","-1.48518","-0.01148"
"897.16200","-1.48518","-0.01160"
"897.26200","-1.48518","-0.01169"
"897.36200","-1.48518","-0.01160"
"897.46200","-1.48518","-0.01152"
"897.56200","-1.48518","-0.01150"
"897.66200","-1.48518","-0.01157"
"897.76200","-1.48518","-0.01153"
"897.86200","-1.48518","-0.01149"
"897.96200","-1.48518","-0.01152"
"898.06200","-1.48518","-0.01152"
"898.16200","-1.48518","-0.01155"
"898.26200","-1.48518","-0.01161"
"898.36200","-1.48518","-0.01153"
"898.46200","-1.48518","-0.01141"
"898.56200","-1.48518","-0.01147"
"898.66200","-1.48518","-0.01153"
"898.76200","-1.48518","-0.01153"
"898.86200","-1.48518","-0.01142"
"898.96200","-1.48518","-0.01139"
"899.06200","-1.48518","-0.01142"
"899.16200","-1.48518","-0.01149"
"899.26200","-1.48518","-0.01147"
"899.36200","-1.48518","-0.01142"
"899.46200","-1.48518","-0.01143"
"899.56200","-1.48518","-0.01152"
"899.66200","-1.48518","-0.01147"
"899.76200","-1.48518","-0.01126"
"899.86200","-1.48518","-0.01136"
"899.96200","-1.48518","-0.01146"
"900.06200","-1.48518","-0.01152"
"900.16200","-1.48518","-0.01144"
"900.26200","-1.48518","-0.01143"
"900.36200","-1.48518","-0.01143"
"900.46200","-1.48518","-0.01144"
"900.56200","-1.48518","-0.01154"
"900.66200","-1.48518","-0.01155"
"900.76200","-1.48518","-0.01143"
"900.86200","-1.48518","-0.01135"
"900.96200","-1.48518","-0.01141"
"901.06200","-1.48518","-0.01149"
"901.16200","-1.48518","-0.01152"
"901.26200","-1.48518","-0.01144"
"901.36200","-1.48518","-0.01151"
"901.46200","-1.48518","-0.01149"
"901.56200","-1.48518","-0.01150"
"901.66200","-1.48518","-0.01147"
"901.76200","-1.48518","-0.01133"
"901.86200","-1.48518","-0.01151"
"901.96200","-1.48518","-0.01154"
"902.06200","-1.48518","-0.01153"
"902.16200","-1.48518","-0.01148"
"902.26200","-1.48518","-0.01146"
"902.36200","-1.48518","-0.01149"
"902.46200","-1.48518","-0.01151"
"902.56200","-1.48518","-0.01142"
"902.66200","-1.48518","-0.01138"
"902.76200","-1.48518","-0.01141"
"902.86200","-1.48518","-0.01142"
"902.96200","-1.48518","-0.01141"
"903.06200","-1.48518","-0.01132"
"903.16200","-1.48518","-0.01134"
"903.26200","-1.48518","-0.01139"
"903.36200","-1.48518","-0.01135"
"903.46200","-1.48518","-0.01149"
"903.56200","-1.48518","-0.01138"
"903.66200","-1.48518","-0.01132"
"903.76200","-1.48518","-0.01120"
"903.86200","-1.48518","-0.01139"
"903.96200","-1.48518","-0.01135"
"904.06200","-1.48518","-0.01131"
"904.16200","-1.48518","-0.01122"
"904.26200","-1.48518","-0.01131"
"904.36200","-1.48518","-0.01133"
"904.46200","-1.48518","-0.01136"
"904.56200","-1.48518","-0.01133"
"904.66200","-1.48518","-0.01126"
"904.76200","-1.48518","-0.01141"
"904.86200","-1.48518","-0.01132"
"904.96200","-1.48518","-0.01136"
"905.06200","-1.48518","-0.01139"
"905.16200","-1.48518","-0.01128"
"905.26200","-1.48518","-0.01128"
"905.36200","-1.48518","-0.01133"
"905.46200","-1.48518","-0.01135"
"905.56200","-1.48518","-0.01123"
"905.66200","-1.48518","-0.01129"
"905.76200","-1.48518","-0.01133"
"905.86200","-1.48518","-0.01142"
"905.96200","-1.48518","-0.01131"
"906.06200","-1.48518","-0.01134"
"906.16200","-1.48518","-0.01136"
"906.26200","-1.48518","-0.01133"
"906.36200","-1.48518","-0.01136"
"906.46200","-1.48518","-0.01125"
"906.56200","-1.48518","-0.01122"
"906.66200","-1.48518","-0.01123"
"906.76200","-1.48518","-0.01140"
"906.86200","-1.48518","-0.01133"
"906.96200","-1.48518","-0.01127"
"907.06200","-1.48518","-0.01117"
"907.16200","-1.48518","-0.01133"
"907.26200","-1.48518","-0.01142"
"907.36200","-1.48518","-0.01130"
"907.46200","-1.48518","-0.01121"
"907.56200","-1.48518","-0.01132"
"907.66200","-1.48518","-0.01124"
"907.76200","-1.48518","-0.01129"
"907.86200","-1.48518","-0.01122"
"907.96200","-1.48518","-0.01128"
"908.06200","-1.48518","-0.01127"
"908.16200","-1.48518","-0.01143"
"908.26200","-1.48518","-0.01132"
"908.36200","-1.48518","-0.01139"
"908.46200","-1.48518","-0.01126"
"908.56200","-1.48518","-0.01130"
"908.66200","-1.48518","-0.01135"
"908.76200","-1.48518","-0.01138"
"908.86200","-1.48518","-0.01130"
"908.96200","-1.48518","-0.01126"
"909.06200","-1.48518","-0.01126"
"909.16200","-1.48518","-0.01139"
"909.26200","-1.48518","-0.01138"
"909.36200","-1.48518","-0.01119"
"909.46200","-1.48518","-0.01125"
"909.56200","-1.48518","-0.01122"
"909.66200","-1.48518","-0.01124"
"909.76200","-1.48518","-0.01126"
"909.86200","-1.48518","-0.01125"
"909.96200","-1.48518","-0.01121"
"910.06200","-1.48518","-0.01125"
"910.16200","-1.48518","-0.01128"
"910.26200","-1.48518","-0.01114"
"910.36200","-1.48518","-0.01121"
"910.46200","-1.48518","-0.01128"
"910.56200","-1.48518","-0.01125"
"910.66200","-1.48518","-0.01127"
"910.76200","-1.48518","-0.01104"
"910.86200","-1.48518","-0.01114"
"910.96200","-1.48518","-0.01116"
"911.06200","-1.48518","-0.01126"
"911.16200","-1.48518","-0.01130"
"911.26200","-1.48518","-0.01121"
"911.36200","-1.48518","-0.01119"
"911.46200","-1.48518","-0.01121"
"911.56200","-1.48518","-0.01124"
"911.66200","-1.48518","-0.01125"
"911.76200","-1.48518","-0.01116"
"911.86200","-1.48518","-0.01114"
"911.96200","-1.48518","-0.01114"
"912.06200","-1.48518","-0.01125"
"912.16200","-1.48518","-0.01120"
"912.26200","-1.48518","-0.01121"
"912.36200","-1.48518","-0.01127"
"912.46200","-1.48518","-0.01133"
"912.56200","-1.48518","-0.01134"
"912.66200","-1.48518","-0.01109"
"912.76200","-1.48518","-0.01114"
"912.86200","-1.48518","-0.01126"
"912.96200","-1.48518","-0.01125"
"913.06200","-1.48518","-0.01123"
"913.16200","-1.48518","-0.01115"
"913.26200","-1.48518","-0.01122"
"913.36200","-1.48518","-0.01117"
"913.46200","-1.48518","-0.01129"
"913.56200","-1.48518","-0.01118"
"913.66200","-1.48518","-0.01115"
"913.76200","-1.48518","-0.01118"
"913.86200","-1.48518","-0.01116"
"913.96200","-1.48518","-0.01123"
"914.06200","-1.48518","-0.01119"
"914.16200","-1.48518","-0.01123"
"914.26200","-1.48518","-0.01115"
"914.36200","-1.48518","-0.01126"
"914.46200","-1.48518","-0.01112"
"914.56200","-1.48520","-0.01107"
"914.66200","-1.48520","-0.01108"
"914.76200","-1.48520","-0.01111"
"914.86200","-1.48520","-0.01117"
"914.96200","-1.48520","-0.01120"
"915.06200","-1.48520","-0.01111"
"915.16200","-1.48520","-0.01108"
"915.26200","-1.48520","-0.01125"
"915.36200","-1.48520","-0.01118"
"915.46200","-1.48520","-0.01107"
"915.56200","-1.48520","-0.01102"
"915.66200","-1.48520","-0.01111"
"915.76200","-1.48520","-0.01121"
"915.86200","-1.48520","-0.01114"
"915.96200","-1.48520","-0.01120"
"916.06200","-1.48520","-0.01108"
"916.16200","-1.48520","-0.01115"
"916.26200","-1.48520","-0.01110"
"916.36200","-1.48520","-0.01120"
"916.46200","-1.48520","-0.01118"
"916.56200","-1.48520","-0.01123"
"916.66200","-1.48520","-0.01106"
"916.76200","-1.48520","-0.01113"
"916.86200","-1.48520","-0.01111"
"916.96200","-1.48520","-0.01109"
"917.06200","-1.48520","-0.01119"
"917.16200","-1.48520","-0.01105"
"917.26200","-1.48520","-0.01122"
"917.36200","-1.48520","-0.01108"
"917.46200","-1.48520","-0.01096"
"917.56200","-1.48520","-0.01108"
"917.66200","-1.48520","-0.01114"
"917.76200","-1.48520","-0.01122"
"917.86200","-1.48520","-0.01103"
"917.96200","-1.48520","-0.01111"
"918.06200","-1.48520","-0.01106"
"918.16200","-1.48520","-0.01113"
"918.26200","-1.48520","-0.01104"
"918.36200","-1.48520","-0.01109"
"918.46200","-1.48520","-0.01106"
"918.56200","-1.48520","-0.01102"
"918.66200","-1.48520","-0.01109"
"918.76200","-1.48520","-0.01106"
"918.86200","-1.48520","-0.01108"
"918.96200","-1.48520","-0.01101"
"919.06200","-1.48520","-0.01117"
"919.16200","-1.48520","-0.01114"
"919.26200","-1.48520","-0.01111"
"919.36200","-1.48520","-0.01097"
"919.46200","-1.48520","-0.01100"
"919.56200","-1.48520","-0.01108"
"919.66200","-1.48520","-0.01107"
"919.76200","-1.48520","-0.01106"
"919.86200","-1.48520","-0.01097"
"919.96200","-1.48520","-0.01112"
"920.06200","-1.48520","-0.01102"
"920.16200","-1.48520","-0.01111"
"920.26200","-1.48520","-0.01107"
"920.36200","-1.48520","-0.01109"
"920.46200","-1.48520","-0.01109"
"920.56200","-1.48520","-0.01103"
"920.66200","-1.48520","-0.01100"
"920.76200","-1.48520","-0.01101"
"920.86200","-1.48520","-0.01105"
"920.96200","-1.48520","-0.01108"
"921.06200","-1.48520","-0.01113"
"921.16200","-1.48520","-0.01104"
"921.26200","-1.48520","-0.01096"
"921.36200","-1.48520","-0.01097"
"921.46200","-1.48520","-0.01098"
"921.56200","-1.48520","-0.01106"
"921.66200","-1.48520","-0.01102"
"921.76200","-1.48520","-0.01099"
"921.86200","-1.48520","-0.01086"
"921.96200","-1.48520","-0.01103"
"922.06200","-1.48520","-0.01107"
"922.16200","-1.48520","-0.01107"
"922.26200","-1.48520","-0.01100"
"922.36200","-1.48520","-0.01102"
"922.46200","-1.48520","-0.01107"
"922.56200","-1.48520","-0.01092"
"922.66200","-1.48520","-0.01091"
"922.76200","-1.48520","-0.01096"
"922.86200","-1.48520","-0.01110"
"922.96200","-1.48520","-0.01113"
"923.06200","-1.48520","-0.01109"
"923.16200","-1.48520","-0.01096"
"923.26200","-1.48520","-0.01104"
"923.36200","-1.48520","-0.01107"
"923.46200","-1.48520","-0.01105"
"923.56200","-1.48520","-0.01099"
"923.66200","-1.48520","-0.01098"
"923.76200","-1.48520","-0.01101"
"923.86200","-1.48520","-0.01102"
"923.96200","-1.48520","-0.01111"
"924.06200","-1.48520","-0.01092"
"924.16200","-1.48520","-0.01100"
"924.26200","-1.48520","-0.01105"
"924.36200","-1.48520","-0.01104"
"924.46200","-1.48520","-0.01104"
"924.56200","-1.48520","-0.01101"
"924.66200","-1.48520","-0.01090"
"924.76200","-1.48520","-0.01100"
"924.86200","-1.48520","-0.01108"
"924.96200","-1.48520","-0.01099"
"925.06200","-1.48520","-0.01104"
"925.16200","-1.48520","-0.01093"
"925.26200","-1.48520","-0.01099"
"925.36200","-1.48520","-0.01094"
"925.46200","-1.48520","-0.01092"
"925.56200","-1.48520","-0.01091"
"925.66200","-1.48520","-0.01097"
"925.76200","-1.48520","-0.01101"
"925.86200","-1.48520","-0.01091"
"925.96200","-1.48520","-0.01089"
"926.06200","-1.48520","-0.01086"
"926.16200","-1.48520","-0.01101"
"926.26200","-1.48520","-0.01110"
"926.36200","-1.48520","-0.01098"
"926.46200","-1.48520","-0.01086"
"926.56200","-1.48520","-0.01085"
"926.66200","-1.48520","-0.01095"
"926.76200","-1.48520","-0.01101"
"926.86200","-1.48520","-0.01101"
"926.96200","-1.48520","-0.01087"
